número	título	contenido
1	Nueva Prueba de Admisión a la Educación Superior elimina los "puntajes nacionales"	Los estudiantes recién egresados que cada año obtienen el puntaje máximo en el proceso de admisión a la educación superior suelen ser reconocidos por amistades, familiares y hasta públicamente, con el tradicional desayuno que los invita el Presidente de la República. Así, los denominados "puntajes nacionales" han servido como un indicador de medición entre establecimientos, de comparación entre años, y como una meta que es anhelada por cientos de jóvenes que, al salir de cuarto medio, buscan destacar en el proceso de ingreso y acceder sin problemas a la carrera que desean. Todo esto se acaba a partir de este año con el debut de la nueva Prueba de Acceso a la Educación Superior (PAES), que se rendirá este 28, 29 y 30 de noviembre, y que entre las varias características que la alejan de la extinta PSU y su versión de transición está el cambio en la forma de medir los puntajes.Lee más en la nota de El Mercurio.
2	Jarry va contra el ex 6° del mundo... Conoce los horarios del "súper lunes" del tenis chileno en el US Open	Nicolás Jarry (120°) logró superar la qualy del US Open y después de tres años volverá a estar en el cuadro principal de un Grand Slam. A "Nico" se le viene un duro desafío. Ya conoce a su rival. Tendrá que enfrentar a Matteo Berrettini (15°).El italiano, que en su mejor momento fue 6 del mundo, se ha enfrentado solo en una ocasión a Jarry. Fue victoria para el chileno el 2018 en Kitzbuhel, Austria (7-5 y 6-3). El partido está programado para el lunes en el court 17. Será el segundo turno. Empezará no antes de las 12:30 p.m. hora de Chile. Alejandro Tabilo, en tanto, también hará su debut el lunes. A las 11:00 se enfrentará con Kamil Majchrzak (90°) en el court 9.Cristian Garin jugará en primera ronda contra Jiri Lehecka (60°). El encuentro está programado para el lunes en el court 14 a las 14:30 (aproximadamente).
3	La increíble marca de 60 años que alcanzó Pellegrini en el Betis y se llena de elogios en España	El Betis de Manuel Pellegrini ha tenido un magnífico arranque en la Liga y está puntero. El "Ingeniero" alcanzó una marca de casi 60 años en el club. Desde la temporada 1963/64 que el elenco verdiblanco no iniciaba con tres victorias al hilo. No es lo único. Hace 10 años, 10 meses y 24 días que el Betis no estaba líder en el certamen hispano. No sucedía desde el 30 de septiembre de 2011. Esta es la tercera temporada de Pellegrini en el elenco andaluz. En la campaña anterior ganó la Copa del Rey. En los últimos 16 partidos oficiales del Betis, solo ha ido perdiendo en 32 de los 1440 minutos disputados. Es la mejor racha entre todos los equipos de las cinco grandes ligas de Europa. La próxima semana se le viene un desafío duro. Visitará al Real MadridLa prensa española destacó lo hecho por el entrenador chileno. "Ha firmado el mejor arranque del Betis en más de una década, y no es casualidad. El equipo ha sabido jugarle a un buen equipo como Osasuna, que le ha puesto en muchísimos aprietos al Betis. Apostó por tercera vez por un once que le está funcionando, aunque tendrá que cambiar la próxima semana en el Bernabéu", afirmó El Desmarque. Estadio Deportivo le puso nota 8. Destacó su lectura de juego ante el Osasuna. "Anuló a un gran rival como es Osasuna con el balón y con el dominio del partido en todo momento. Hizo los cambios precisos y en el momento adecuado. El chileno es garantía", escribió. Pero no todo es alegría para Pellegrini. Debido al fair play financiero, el Betis no ha podido inscribir a todos sus jugadores, uno de los que falta es Claudio Bravo.
4	Everton goleó a La Serena y le dio una mano a la U: Revisa cómo está la tabla del Torneo Nacional	Ya se comenzó a jugar la fecha 23 de la Primera A del fútbol chileno y con una importante goleada de Everton sobre La Serena.Los viñamarinos vencieron 4-0 a los "Papayeros" y de paso le dieron una mano a la U, porque los granates se quedan en la clasificación y aunque perdieran los azules este sábado ante la UC no perderían puestos frente a los dirigidos por Pablo Marini.En la parte alta, Colo Colo -que juega el domingo ante La Calera- sigue sólido en la cima.Así está la tabla
5	Corrió 50 metros y la picó: Mira el golazo que anotó Sagal en la Superliga de Turquía	Ángelo Sagal, ex seleccionado chleno, se lució con un golazo en la Superliga de Turquía. El atacante anotó el cuarto tanto de su equipo, el Gaziantep FK, frente al Antalyaspor por 5-2.Sagal ganó la pelota, corrió más de 50 metros y la picó cuando quedó frente al arquero. Mira el gol
6	Crecen los rumores de un paso de Niemann a LIV Golf y podría ser anunciado en los próximos días	Joaquín Niemann se ha convertido en una de las grandes figuras ascendentes del golf mundial en estos últimos años y sus pasos siempre llaman la atención.Su carrera explosiva en el PGA Tour que ya cuenta con dos títulos en el palmarés a sus 23 años, es un nombre muy atractivo para este deporte.Por eso, Niemann ha sido vinculado por diversos medios como nuevo "fichaje" de LIV Golf, el nuevo circuito de golf mundial que maneja Arabia Saudita con varios millones como incentivo.En las últimas horas, el chileno es motivo de fuertes rumores de un paso a la gira árabe que la próxima semana disputará su cuarto torneo en Boston.Este viernes, la cuenta de Twitter especializada en golf (@NoLayingUp) publicó unos códigos para adquirir entradas a ese certamen con el nombre del nacional, los que luego fueron borrados.Todo esto alimentó las voces que el número 18 del Ranking Mundial se unirá a LIV una vez terminada su participación en el Tour Championship, el evento final del año del PGA Tour.LIV Golf tiene previsto revelar sus nuevos "refuerzos" el próximo lunes, antes de informar la lista de jugadores que disputarán el campeonato que arranca el viernes en Boston.Junto con Niemann, los que aparecen como posibles jugadores que pasarán al millonario circuito son el número dos del mundo, el australiano Cameron Smith; su compatriota Marc Leishman; el indio Anirban Lahiri, más los estadounidenses Cameron Tringale y Harold Varner III.Además, también corre fuerte el rumor del norteamericano Cameron Young, quien con seguridad será nombrado el novato del año en el PGA Tour, y el japonés Hideki Matsuyama, campeón del Masters de Augusta 2021.
7	Marcelino Núñez da pase clave para el gol que le dio un nuevo triunfo al Norwich... Mira la jugada	Marcelino Núñez está teniendo un tremendo inicio de su ciclo en el Norwich. Lleva cinco titularidades y a lo menos en la Championship ya es estelar fijo.Este sábado volvió a ser de la partida en la sexta fecha del torneo y fue clave en la victoria de su equipo que se encarama en la tabla de posiciones.El chileno -que jugó todo el partido- dio un muy buen pase previo a la asistencia que terminó en el único gol con que los "Canarios" vencieron por la mínima de visita al Sunderland.El ex volante de la UC agarró el balón por la izquierda y habilitó de manera magistral a Ramsey que hizo el centro que finalizó con la pelota en el fondo del arco, con anotación de Joshua Sargent a los 76'.Con esta nueva victoria, tercera consecutiva, el Norwich se pone por el momento segundo con 10 puntos, aunque puede ser superado por un grupo de equipos que juegan más tarde y están con 9 unidades.Mira el gol con el pase inicial de Marcelino
8	El Betis de Pellegrini vuelve a ganar y es líder de la Liga... Revisa el golazo ante Osasuna	Pese a todos los problemas administrativos que tiene a algunos jugadores -entre ellos Claudio Bravo- sin poder ser inscritos, el Betis de Manuel Pellegrini no falla en la cancha.El elenco verdiblanco completó este viernes su tercera victoria seguida, en misma cantidad de partidos en el inicio de la Liga.Con esto es hoy único líder del campeonato a la espera del Real Madrid y el Villarreal que podrían alcanzarlo.El conjunto dirigido por el DT chileno venció por la cuenta mínima al Osasuna, un equipo que también llegaba con "canasta limpia". Hasta hoy no sabía de derrotas.El único gol del partido lo anotó Borja Iglesias a los 34' con un taponazo desde la entrada del área.Se le complicó si al elenco del "Ingeniero", porque a los 73' se quedó con uno menos tras expulsión del argentino Germán Pezzella. Pero lo pudo aguantar.Lo que viene para el Betis es durísimo, porque la próxima fecha se mide con el Real Madrid y después al Villarreal.Mira el único gol del partido
9	"Me da vergüenza"... Gustavo Quinteros explicó su bullado viaje a Portugal	Tras la eliminación de Colo Colo en los octavos de final de Copa Chile ante Ñublense, Gustavo Quinteros sorprendió a todos. El técnico del Cacique realizó un viaje relámpago a Portugal, lo cual generó variadas especulaciones.Sin embargo, el entrenador de los albos aclaró este viernes, en la conferencia de prensa previa al duelo de este domingo ante Unión La Calera por el Campeonato Nacional, las razones del viaje."Me da vergüenza tener que contestar una pregunta así. Nunca dejamos de entrenar, al contrario, entrenaron muy bien, hicimos todo lo que se hace siempre, preparamos el equipo con mi cuerpo técnico y se hizo muy bien. El equipo está muy bien preparado, hoy hicimos una parte táctica y salió muy buena. Así que vamos a estar muy bien para el partido del domingo", reconoció el DT."Me citaron del gobierno, de migraciones, porque inicié un trámite para una visa familiar por allá por el 2020, antes de venir a Colo Colo, cuando estaba en México la inicié. Se suponía que en un mes tenía que hacer todos los trámites, pero se paró todo por la pandemia", dijo.Agregó que "me citaron a mí y a mi familia para este 24 de agosto, para para ir a hacer los trámites, poner las huellas, etc... allá en Portugal. Era una fecha que no podía dejar pasar, porque o sino después, tal vez, perdía la opción de esa visa o residencia, sobre todo para mi familia o para mis hijos, para que en el futuro ellos puedan tener la posibilidad de estudiar o de trabajar en Europa. Así que como papá estoy haciendo este trámite para que ellos puedan tener más posibilidades en la vida", añadió.Sobre el cotejo ante los "cementeros", el adiestrador sostuvo: "Es un equipo que tiene un esquema de juego distinto a la mayoría de los equipos. Tiene individuales muy buenas, a Sacha (Sebastián Sáez) lo conozco y si lo dejas libre en el área es muy peligroso, tenemos que tener cuidado"."Después de este partido tenemos varios días para recuperar jugadores. Vamos a planificar al menos un partido amistoso y la idea es afrontar estas finales como tal; corregir los errores y seguir jugando con la misma idea", complementó.
10	Violencia golpea duro a la inversión forestal: Hay cero proyectos contemplados desde 2023 hacia adelante	La industria forestal es uno de los principales focos de ataques por parte de grupos extremistas de la Macrozona Sur, centro de operaciones del sector en Chile y que ha sufrido millonarias pérdidas por hechos como el creciente robo de madera y atentados de todo tipo. De hecho, desde la Coordinadora Arauco Malleco (CAM) -liderada por Héctor Llaitul, recientemente detenido por una serie de delitos, entre ellos, el robo de madera y quien, desde ayer, cumple la medida cautelar de prisión preventiva- se han jactado de mantener "en jaque" la presencia de la industria forestal en la zona.  Según cifras de la Corporación Chilena de la Madera (Corma) el robo de madera ha sufrido una "explosión" en los últimos años en el país; desde cifras en torno a US$20 millones en 2018 a un peak de US$92,4 millones en 2021, lo que equivaldría a alrededor de 50 mil camiones anuales circulando con madera robada por las carreteras. Además, de acuerdo con los datos de la Asociación de Contratistas Forestales (Acoforag), los atentados a predios forestales han aumentaron un 22% en los primeros siete meses de 2022, en comparación al mismo periodo del año pasado. Si en 2021 se contabilizaban 50 ataques armados entre enero y julio, este año esa cifra subió a 61 en el mismo periodo, pese al estado de excepción que ha regido en la Macrozona Sur en el último tiempo.Todo esto -y más- ha gatillado a que empresas del rubro forestal estén tomando medidas, como trabajar solo de día y evitar transitar por rutas en horarios más propensos a sufrir alguna afectación, más aún en estos días, dado el aumento de hechos de violencia a modo de respuesta por la detención de Llaitul. Y, por cierto, esta situación está ahuyentando a los inversionistas. Al respecto, reveladores son los datos de la Corporación de Bienes de Capital (CBC) (ver tabla abajo), que en un reciente informe dio cuenta de los proyectos de inversión contemplados para la industria forestal del país en los próximos cinco años.En 2022 hay solo un proyecto por US$134 millones, que se trata de la Modernización y Ampliación de la Plata Arauco (MAPA). Sin embargo, desde 2023 hacia adelante no hay sobre la mesa ninguna inversión forestal. Nada. "Justamente por la falta de certezas", aseguró a Emol René Muñoz, gerente de Acoforag, lo que "está relacionada con el conflicto y la violencia en la Macrozona Sur". "La Macrozona Sur es la que genera, en el fondo, el abastecimiento de las plantas industriales, y al no haber certezas jurídicas hace que los inversionistas arranquen, no inviertan y se vayan a Brasil, por ejemplo, se vayan a Uruguay, a países más estables políticamente", añadió. Además, criticó la falta de programas que incentiven la forestación, "la incorporación de nuevos campos, de nuevas superficies de bosques, limita que las empresas o los inversionistas se proyecten a un plazo más largo", recalcó.  "Entonces, faltan políticas públicas. Existe la superficie de terrenos que se pueden forestar y que permitirían incorporar más capacidad instalada en la industria de la madera, pero no se ve tampoco que este Gobierno tenga claro eso. Al contrario, son enemigos finalmente de las plantaciones artificiales, como lo han demostrado en sus declaraciones muchos personeros de este Gobierno", añadió.  "La Macrozona Sur es la que genera, en el fondo, el abastecimiento de las plantas industriales, y al no haber certezas jurídicas hace que los inversionistas arranquen, no inviertan y se vayan a Brasil, por ejemplo, se vayan a Uruguay, a países más estables políticamente".René Muñoz, gerente de Acoforag Desde Corma señalaron a este medio que, en total, cerca de 126 mercados son abastecidos por más de 700 empresas de productos forestales. A ellos, se les destina una canasta de productos de distintas categorías de pulpa, además de madera de la industria de transformación secundaria. "Para ello se requieren inversiones industriales de magnitud que requieren un tiempo para su implementación y tener asegurado el abastecimiento de materia prima, en este caso, bosques plantados con fines productivos", menciona la Corporación. Con todo, indica que "para proyectar nuevas inversiones, el abastecimiento de materia prima pasa a ser un factor relevante, ya que hace ya casi diez años que la tasa de forestación e incorporación de nuevas plantaciones se ha estancado, producto de la ausencia de una política forestal que estimule su desarrollo". "Sumemos a esto los mega incendios del 2017, donde las pymes no han podido recuperar sus bosques, lo que las tiene en una difícil situación para seguir participando de las exportaciones y abasteciendo al mercado interno. Por último, la creciente inseguridad que se vive en la Macrozona sur -robo de madera, atentados y usurpaciones- también tiene su efecto en la proyección del abastecimiento e inversiones", agrega el gremio de la madera. Por su parte, Rodrigo Saens, académico de la Facultad de Economía y Negocios de la Universidad de Talca, también vinculó la falta de inversión en el sector forestal a la propuesta constitucional, que "ha puesto en duda un tema que es fundamental para la inversión: los derechos de propiedad. No se sabe con certeza el alcance que va a tener la restitución de tierras que establece el texto constitucional propuesto por la Convención". "Si a esa falta de certeza jurídica sumamos la falta de seguridad, los atentados incendiarios, el robo de madera, el narcotráfico y, en general, la ausencia de estado derecho que afecta a gran parte de dicho territorio, tenemos el cóctel perfecto para ahuyentar la inversión en una de las zonas más pobres de Chile", subrayó. Mientras que Carlos Smith, docente investigador del Centro de Estudios en Economía y Negocios de la UDD, expuso que "sin duda que los factores principales que involucran la inversión son las reglas claras tener reglas claras", lo que no se cumpliría producto del proceso constituyente. "Además el sector forestal es un sector bastante complejo en particular, a diferencia de los otros sectores, porque existe este conflicto en La Araucanía, en los sectores donde hay mayores plantaciones, que finalmente, no sabemos cómo se va a resolver", dijo. "Ha aumentado la violencia, por lo que se han tenido que dejar ciertos predios botados, las plantaciones han estado emigrando a regiones más al sur, o incluso un poco más hacia el norte, pero la calidad de los terrenos no es la misma", añadió. Por lo que el académico prevé que el sector forestal en el país "se va a estancar"."El tema de la seguridad o la violencia que se está generando y la poca claridad de las reglas, hacen que finalmente esta inversión pare, y empiecen a mirar a otros lados. Eso es lo complejo", subrayó Smith. "Empiezan a mirar países como Brasil, como Paraguay, incluso Estados Unidos, y empiezan a canalizar esos recursos y esas inversiones son de largo plazo, por lo tanto, son muchos recursos. Es preocupante", concluyó.  Inversiones privadas y estatales a materializar en el quinquenio 2022-2026*     Sector 2022 2023 2024 2025 2026 Total Proyectos     Energía 3.792 1.930 626 125 54 6.527 183   Forestal 134 0 0 0 0 134 1   Industrial 785 439 195 16 111 1.447 62   Inmobiliaria 2.602 1.424 706 476 335 5.543 211   Minería 5.970 3.594 2.432 2.004 1.126 15.126 70   Obras Públicas 4.904 3.973 3.972 3.887 3.686 20.423 454   Puertos 183 181 119 127 174 785 8   Tecnología 1.947 1.377 231 214 194 3.964 15   Total 20.317 12.919 8.281 6.850 5.581 53.948 1.004    *Datos en mil millones de dólares | Fuente: Corporación de Bienes de Capital (CBC) 
